user_id,registration_date,activity_date,feature_used,session_duration_minutes,device_os
MM_1004,2024-08-17,2024-09-22 00:00:00,Period Tracker,11.3,Android
MM_1004,2024-08-17,2024-10-11 00:00:00,Period Tracker,14.4,iOS
MM_1005,2024-09-20,2024-10-23 00:00:00,Period Tracker,6.7,iOS
MM_1005,2024-09-20,2024-09-21 00:00:00,Period Tracker,11.2,iOS
MM_1005,2024-09-20,2024-10-24 00:00:00,Community Forum,13.8,iOS
MM_1005,2024-09-20,2024-10-03 00:00:00,Period Tracker,5.2,iOS
MM_1005,2024-09-20,2024-10-13 00:00:00,Period Tracker,3.0,iOS
MM_1005,2024-09-20,2024-10-18 00:00:00,Community Forum,10.3,iOS
MM_1005,2024-09-20,2024-10-16 00:00:00,Period Tracker,10.9,Android
MM_1005,2024-09-20,2024-10-19 00:00:00,Period Tracker,1.2,iOS
MM_1005,2024-09-20,2024-10-23 00:00:00,Period Tracker,14.7,Android
MM_1005,2024-09-20,2024-10-09 00:00:00,Period Tracker,12.1,Android
MM_1005,2024-09-20,2024-10-26 00:00:00,Symptom Logger,8.1,Android
MM_1005,2024-09-20,2024-11-07 00:00:00,Symptom Logger,12.0,Android
MM_1005,2024-09-20,2024-09-26 00:00:00,Community Forum,7.9,iOS
MM_1006,2024-08-26,2024-09-03 00:00:00,Community Forum,5.2,iOS
MM_1006,2024-08-26,2024-10-02 00:00:00,Health Articles,1.5,iOS
MM_1006,2024-08-26,2024-08-30 00:00:00,Period Tracker,3.2,Android
MM_1006,2024-08-26,2024-09-04 00:00:00,Symptom Logger,4.8,Android
MM_1006,2024-08-26,2024-10-10 00:00:00,Symptom Logger,7.6,Android
MM_1006,2024-08-26,2024-08-26 00:00:00,Period Tracker,5.6,iOS
MM_1006,2024-08-26,2024-09-01 00:00:00,Symptom Logger,13.3,Android
MM_1006,2024-08-26,2024-10-06 00:00:00,Community Forum,9.6,Android
MM_1006,2024-08-26,2024-09-28 00:00:00,Community Forum,5.8,Android
MM_1006,2024-08-26,2024-10-03 00:00:00,Period Tracker,5.7,iOS
MM_1006,2024-08-26,2024-09-02 00:00:00,Community Forum,5.3,Android
MM_1006,2024-08-26,2024-10-15 00:00:00,Community Forum,2.4,Android
MM_1007,2024-10-20,2024-10-21 00:00:00,Community Forum,8.9,Android
MM_1007,2024-10-20,2024-11-11 00:00:00,Period Tracker,3.6,Android
MM_1007,2024-10-20,2024-11-26 00:00:00,Health Articles,7.1,Android
MM_1007,2024-10-20,2024-11-07 00:00:00,Period Tracker,4.2,Android
MM_1007,2024-10-20,2024-11-01 00:00:00,Symptom Logger,7.9,iOS
MM_1007,2024-10-20,2024-11-06 00:00:00,Period Tracker,1.4,Android
MM_1007,2024-10-20,2024-11-17 00:00:00,Health Articles,3.6,iOS
MM_1007,2024-10-20,2024-10-25 00:00:00,Period Tracker,12.3,iOS
MM_1007,2024-10-20,2024-11-18 00:00:00,Health Articles,7.0,Android
MM_1007,2024-10-20,2024-11-21 00:00:00,Community Forum,7.4,iOS
MM_1007,2024-10-20,2024-11-27 00:00:00,Symptom Logger,10.9,Android
MM_1007,2024-10-20,2024-11-08 00:00:00,Period Tracker,13.9,Android
MM_1007,2024-10-20,2024-12-12 00:00:00,Symptom Logger,14.7,iOS
MM_1007,2024-10-20,2024-10-23 00:00:00,Health Articles,3.6,iOS
MM_1007,2024-10-20,2024-11-10 00:00:00,Symptom Logger,14.4,Android
MM_1007,2024-10-20,2024-11-16 00:00:00,Community Forum,6.1,iOS
MM_1007,2024-10-20,2024-11-15 00:00:00,Period Tracker,14.0,iOS
MM_1008,2024-08-08,2024-10-02 00:00:00,Symptom Logger,12.7,iOS
MM_1008,2024-08-08,2024-09-28 00:00:00,Period Tracker,10.2,iOS
MM_1009,2024-09-30,2024-10-30 00:00:00,Symptom Logger,7.3,Android
MM_1010,2024-09-02,2024-09-17 00:00:00,Period Tracker,10.4,iOS
MM_1010,2024-09-02,2024-09-18 00:00:00,Period Tracker,9.6,Android
MM_1010,2024-09-02,2024-10-25 00:00:00,Period Tracker,,Android
MM_1010,2024-09-02,2024-09-06 00:00:00,Period Tracker,3.5,Android
MM_1010,2024-09-02,2024-10-09 00:00:00,Period Tracker,1.3,iOS
MM_1010,2024-09-02,2024-09-04 00:00:00,Symptom Logger,3.2,Android
MM_1010,2024-09-02,2024-10-10 00:00:00,Period Tracker,11.5,Android
MM_1010,2024-09-02,2024-09-12 00:00:00,Community Forum,1.6,Android
MM_1010,2024-09-02,2024-10-09 00:00:00,Period Tracker,13.1,Android
MM_1010,2024-09-02,2024-09-30 00:00:00,Period Tracker,10.6,Android
MM_1010,2024-09-02,2024-10-01 00:00:00,Health Articles,9.2,iOS
MM_1010,2024-09-02,2024-09-05 00:00:00,Period Tracker,10.8,Android
MM_1010,2024-09-02,2024-09-24 00:00:00,Health Articles,6.3,Android
MM_1010,2024-09-02,2024-09-04 00:00:00,Period Tracker,8.0,Android
MM_1010,2024-09-02,2024-09-17 00:00:00,Period Tracker,10.3,iOS
MM_1010,2024-09-02,2024-09-11 00:00:00,Period Tracker,12.2,iOS
MM_1010,2024-09-02,2024-10-12 00:00:00,Period Tracker,4.6,Android
MM_1010,2024-09-02,2024-10-05 00:00:00,Community Forum,10.0,iOS
MM_1010,2024-09-02,2024-10-16 00:00:00,Period Tracker,3.5,iOS
MM_1011,2024-09-03,2024-10-17 00:00:00,Symptom Logger,14.7,Android
MM_1011,2024-09-03,2024-09-12 00:00:00,Community Forum,13.6,iOS
MM_1011,2024-09-03,2024-09-12 00:00:00,Symptom Logger,4.1,Android
MM_1011,2024-09-03,2024-10-20 00:00:00,Period Tracker,2.1,iOS
MM_1011,2024-09-03,2024-09-21 00:00:00,Period Tracker,11.6,iOS
MM_1012,2024-09-12,2024-11-07 00:00:00,Symptom Logger,10.8,iOS
MM_1012,2024-09-12,2024-10-28 00:00:00,Period Tracker,4.2,iOS
MM_1012,2024-09-12,2024-10-17 00:00:00,Period Tracker,13.8,Android
MM_1012,2024-09-12,2024-10-18 00:00:00,Period Tracker,10.3,Android
MM_1012,2024-09-12,2024-11-08 00:00:00,Health Articles,13.4,Android
MM_1012,2024-09-12,2024-10-09 00:00:00,Period Tracker,1.4,iOS
MM_1012,2024-09-12,2024-09-26 00:00:00,Period Tracker,4.2,Android
MM_1012,2024-09-12,2024-10-05 00:00:00,Symptom Logger,10.5,Android
MM_1012,2024-09-12,2024-10-11 00:00:00,Community Forum,9.1,iOS
MM_1012,2024-09-12,2024-10-07 00:00:00,Period Tracker,10.8,iOS
MM_1012,2024-09-12,2024-10-23 00:00:00,Period Tracker,9.3,Android
MM_1012,2024-09-12,2024-09-17 00:00:00,Health Articles,12.8,iOS
MM_1012,2024-09-12,2024-10-30 00:00:00,Period Tracker,14.5,iOS
MM_1012,2024-09-12,2024-11-05 00:00:00,Community Forum,5.2,Android
MM_1012,2024-09-12,2024-09-26 00:00:00,Period Tracker,3.9,iOS
MM_1013,2024-10-16,2024-10-24 00:00:00,Symptom Logger,14.9,iOS
MM_1013,2024-10-16,2024-12-13 00:00:00,Community Forum,4.8,iOS
MM_1013,2024-10-16,2024-11-22 00:00:00,Period Tracker,6.0,iOS
MM_1013,2024-10-16,2024-12-07 00:00:00,Period Tracker,8.1,Android
MM_1013,2024-10-16,2024-10-28 00:00:00,Period Tracker,7.2,iOS
MM_1013,2024-10-16,2024-12-12 00:00:00,Community Forum,14.5,iOS
MM_1013,2024-10-16,2024-11-12 00:00:00,Period Tracker,9.3,iOS
MM_1013,2024-10-16,2024-11-23 00:00:00,Period Tracker,14.2,Android
MM_1013,2024-10-16,2024-12-10 00:00:00,Period Tracker,9.8,iOS
MM_1013,2024-10-16,2024-11-14 00:00:00,Period Tracker,8.0,Android
MM_1013,2024-10-16,2024-11-09 00:00:00,Community Forum,9.7,Android
MM_1013,2024-10-16,2024-11-16 00:00:00,Period Tracker,7.0,iOS
MM_1013,2024-10-16,2024-11-16 00:00:00,Symptom Logger,12.7,Android
MM_1013,2024-10-16,2024-12-03 00:00:00,Period Tracker,13.9,iOS
MM_1013,2024-10-16,2024-10-21 00:00:00,Symptom Logger,13.9,iOS
MM_1013,2024-10-16,2024-11-21 00:00:00,Symptom Logger,3.8,Android
MM_1013,2024-10-16,2024-12-02 00:00:00,Period Tracker,9.5,iOS
MM_1014,2024-10-03,2024-10-10 00:00:00,Symptom Logger,6.0,iOS
MM_1015,2024-08-15,2024-09-02 00:00:00,Symptom Logger,3.1,Android
MM_1015,2024-08-15,2024-10-02 00:00:00,Period Tracker,11.3,Android
MM_1015,2024-08-15,2024-08-16 00:00:00,Symptom Logger,6.3,Android
MM_1015,2024-08-15,2024-08-16 00:00:00,Health Articles,,iOS
MM_1015,2024-08-15,2024-09-23 00:00:00,Period Tracker,13.6,iOS
MM_1015,2024-08-15,2024-09-27 00:00:00,Period Tracker,8.0,iOS
MM_1015,2024-08-15,2024-08-24 00:00:00,Community Forum,7.9,iOS
MM_1015,2024-08-15,2024-08-18 00:00:00,Symptom Logger,1.2,Android
MM_1015,2024-08-15,2024-09-21 00:00:00,Period Tracker,1.6,Android
MM_1015,2024-08-15,2024-08-20 00:00:00,Health Articles,7.4,iOS
MM_1015,2024-08-15,2024-10-09 00:00:00,Period Tracker,14.9,iOS
MM_1015,2024-08-15,2024-10-02 00:00:00,Period Tracker,3.8,Android
MM_1015,2024-08-15,2024-10-14 00:00:00,Period Tracker,9.1,Android
MM_1015,2024-08-15,2024-10-08 00:00:00,Period Tracker,7.1,iOS
MM_1015,2024-08-15,2024-09-25 00:00:00,Period Tracker,6.2,iOS
MM_1015,2024-08-15,2024-09-06 00:00:00,Period Tracker,5.9,iOS
MM_1015,2024-08-15,2024-09-21 00:00:00,Period Tracker,10.1,Android
MM_1016,2024-09-12,2024-10-11 00:00:00,Period Tracker,1.2,iOS
MM_1016,2024-09-12,2024-10-08 00:00:00,Health Articles,7.2,Android
MM_1016,2024-09-12,2024-11-01 00:00:00,Period Tracker,5.1,Android
MM_1016,2024-09-12,2024-10-27 00:00:00,Health Articles,8.7,Android
MM_1016,2024-09-12,2024-10-21 00:00:00,Symptom Logger,3.2,Android
MM_1016,2024-09-12,2024-09-12 00:00:00,Health Articles,8.9,iOS
MM_1016,2024-09-12,2024-11-09 00:00:00,Health Articles,12.7,iOS
MM_1016,2024-09-12,2024-10-01 00:00:00,Symptom Logger,3.9,iOS
MM_1016,2024-09-12,2024-11-10 00:00:00,Period Tracker,12.5,iOS
MM_1016,2024-09-12,2024-10-16 00:00:00,Symptom Logger,2.6,iOS
MM_1016,2024-09-12,2024-09-23 00:00:00,Period Tracker,13.8,Android
MM_1016,2024-09-12,2024-11-07 00:00:00,Period Tracker,7.4,iOS
MM_1016,2024-09-12,2024-10-14 00:00:00,Period Tracker,14.7,Android
MM_1016,2024-09-12,2024-11-05 00:00:00,Community Forum,,iOS
MM_1016,2024-09-12,2024-10-22 00:00:00,Period Tracker,8.0,iOS
MM_1016,2024-09-12,2024-11-11 00:00:00,Community Forum,10.0,iOS
MM_1016,2024-09-12,2024-09-15 00:00:00,Period Tracker,5.6,Android
MM_1016,2024-09-12,2024-09-18 00:00:00,Symptom Logger,12.6,Android
MM_1017,2024-10-15,2024-12-14 00:00:00,Community Forum,6.5,Android
MM_1017,2024-10-15,2024-11-06 00:00:00,Period Tracker,5.6,iOS
MM_1017,2024-10-15,2024-11-27 00:00:00,Period Tracker,13.4,Android
MM_1018,2024-08-23,2024-09-19 00:00:00,Symptom Logger,5.1,Android
MM_1018,2024-08-23,2024-08-31 00:00:00,Health Articles,9.1,Android
MM_1018,2024-08-23,2024-10-14 00:00:00,Period Tracker,7.4,iOS
MM_1019,2024-09-09,2024-09-14 00:00:00,Period Tracker,12.8,iOS
MM_1020,2024-10-03,2024-10-09 00:00:00,Symptom Logger,14.9,iOS
MM_1020,2024-10-03,2024-11-09 00:00:00,Symptom Logger,13.3,iOS
MM_1020,2024-10-03,2024-11-30 00:00:00,Period Tracker,8.7,Android
MM_1020,2024-10-03,2024-11-03 00:00:00,Symptom Logger,2.8,iOS
MM_1020,2024-10-03,2024-11-22 00:00:00,Period Tracker,13.2,iOS
MM_1020,2024-10-03,2024-11-07 00:00:00,Period Tracker,14.1,iOS
MM_1020,2024-10-03,2024-10-08 00:00:00,Health Articles,8.1,Android
MM_1020,2024-10-03,2024-11-16 00:00:00,Period Tracker,2.9,iOS
MM_1020,2024-10-03,2024-10-22 00:00:00,Health Articles,7.0,Android
MM_1020,2024-10-03,2024-10-19 00:00:00,Period Tracker,4.2,Android
MM_1020,2024-10-03,2024-10-22 00:00:00,Period Tracker,14.3,iOS
MM_1020,2024-10-03,2024-10-09 00:00:00,Community Forum,10.4,iOS
MM_1021,2024-10-15,2024-12-10 00:00:00,Period Tracker,10.0,Android
MM_1021,2024-10-15,2024-10-26 00:00:00,Community Forum,7.3,iOS
MM_1021,2024-10-15,2024-12-02 00:00:00,Community Forum,4.5,iOS
MM_1021,2024-10-15,2024-12-07 00:00:00,Symptom Logger,11.2,iOS
MM_1021,2024-10-15,2024-12-08 00:00:00,Community Forum,4.3,iOS
MM_1021,2024-10-15,2024-10-20 00:00:00,Health Articles,2.1,Android
MM_1021,2024-10-15,2024-11-21 00:00:00,Period Tracker,12.9,iOS
MM_1021,2024-10-15,2024-12-10 00:00:00,Period Tracker,6.6,Android
MM_1021,2024-10-15,2024-11-07 00:00:00,Period Tracker,9.7,Android
MM_1021,2024-10-15,2024-11-14 00:00:00,Health Articles,,Android
MM_1021,2024-10-15,2024-11-29 00:00:00,Period Tracker,5.2,iOS
MM_1021,2024-10-15,2024-10-16 00:00:00,Symptom Logger,2.2,iOS
MM_1022,2024-08-01,2024-09-13 00:00:00,Symptom Logger,11.4,Android
MM_1022,2024-08-01,2024-09-04 00:00:00,Period Tracker,11.2,iOS
MM_1022,2024-08-01,2024-09-21 00:00:00,Period Tracker,10.6,Android
MM_1022,2024-08-01,2024-09-27 00:00:00,Health Articles,11.9,iOS
MM_1022,2024-08-01,2024-09-13 00:00:00,Community Forum,12.2,iOS
MM_1022,2024-08-01,2024-09-03 00:00:00,Period Tracker,6.8,Android
MM_1022,2024-08-01,2024-08-17 00:00:00,Period Tracker,12.1,iOS
MM_1022,2024-08-01,2024-09-13 00:00:00,Period Tracker,8.7,Android
MM_1022,2024-08-01,2024-09-18 00:00:00,Health Articles,10.9,iOS
MM_1022,2024-08-01,2024-09-15 00:00:00,Period Tracker,4.4,Android
MM_1023,2024-08-22,2024-10-20 00:00:00,Period Tracker,12.8,Android
MM_1023,2024-08-22,2024-09-26 00:00:00,Period Tracker,7.6,iOS
MM_1023,2024-08-22,2024-08-25 00:00:00,Period Tracker,1.5,Android
MM_1023,2024-08-22,2024-09-03 00:00:00,Period Tracker,11.7,Android
MM_1023,2024-08-22,2024-08-23 00:00:00,Period Tracker,6.0,Android
MM_1023,2024-08-22,2024-08-31 00:00:00,Symptom Logger,12.7,iOS
MM_1023,2024-08-22,2024-09-13 00:00:00,Symptom Logger,10.6,Android
MM_1023,2024-08-22,2024-08-25 00:00:00,Health Articles,4.2,Android
MM_1023,2024-08-22,2024-09-04 00:00:00,Symptom Logger,4.3,Android
MM_1023,2024-08-22,2024-08-23 00:00:00,Period Tracker,8.8,iOS
MM_1023,2024-08-22,2024-09-25 00:00:00,Symptom Logger,3.4,iOS
MM_1023,2024-08-22,2024-09-08 00:00:00,Period Tracker,7.5,iOS
MM_1023,2024-08-22,2024-09-24 00:00:00,Period Tracker,3.1,Android
MM_1023,2024-08-22,2024-10-13 00:00:00,Period Tracker,13.8,Android
MM_1023,2024-08-22,2024-09-20 00:00:00,Symptom Logger,7.4,Android
MM_1023,2024-08-22,2024-10-15 00:00:00,Community Forum,6.2,Android
MM_1023,2024-08-22,2024-09-23 00:00:00,Period Tracker,3.1,Android
MM_1023,2024-08-22,2024-10-03 00:00:00,Period Tracker,10.7,Android
MM_1023,2024-08-22,2024-09-02 00:00:00,Symptom Logger,10.8,iOS
MM_1024,2024-10-20,2024-10-20 00:00:00,Health Articles,12.3,Android
MM_1024,2024-10-20,2024-11-19 00:00:00,Period Tracker,1.0,iOS
MM_1025,2024-10-07,2024-10-21 00:00:00,Period Tracker,6.8,iOS
MM_1025,2024-10-07,2024-10-08 00:00:00,Period Tracker,8.2,iOS
MM_1025,2024-10-07,2024-10-07 00:00:00,Period Tracker,8.7,iOS
MM_1026,2024-08-27,2024-10-04 00:00:00,Community Forum,10.2,iOS
MM_1026,2024-08-27,2024-08-27 00:00:00,Period Tracker,10.1,iOS
MM_1026,2024-08-27,2024-09-14 00:00:00,Period Tracker,12.5,iOS
MM_1026,2024-08-27,2024-10-07 00:00:00,Community Forum,6.5,iOS
MM_1026,2024-08-27,2024-10-22 00:00:00,Period Tracker,14.5,Android
MM_1026,2024-08-27,2024-10-05 00:00:00,Period Tracker,6.9,Android
MM_1026,2024-08-27,2024-10-14 00:00:00,Community Forum,4.9,Android
MM_1026,2024-08-27,2024-09-30 00:00:00,Period Tracker,7.2,Android
MM_1026,2024-08-27,2024-09-07 00:00:00,Health Articles,12.7,Android
MM_1027,2024-08-23,2024-08-25 00:00:00,Symptom Logger,13.2,iOS
MM_1028,2024-08-17,2024-09-17 00:00:00,Community Forum,9.2,Android
MM_1028,2024-08-17,2024-08-28 00:00:00,Symptom Logger,12.4,Android
MM_1029,2024-10-04,2024-11-04 00:00:00,Symptom Logger,1.9,iOS
MM_1029,2024-10-04,2024-10-17 00:00:00,Health Articles,5.5,Android
MM_1029,2024-10-04,2024-10-21 00:00:00,Period Tracker,14.4,iOS
MM_1029,2024-10-04,2024-11-18 00:00:00,Symptom Logger,13.3,Android
MM_1029,2024-10-04,2024-10-10 00:00:00,Community Forum,5.2,iOS
MM_1029,2024-10-04,2024-10-31 00:00:00,Period Tracker,7.8,iOS
MM_1030,2024-10-24,2024-11-07 00:00:00,Community Forum,1.1,iOS
MM_1030,2024-10-24,2024-12-15 00:00:00,Symptom Logger,10.6,Android
MM_1030,2024-10-24,2024-11-12 00:00:00,Period Tracker,1.4,Android
MM_1030,2024-10-24,2024-11-03 00:00:00,Period Tracker,5.0,Android
MM_1030,2024-10-24,2024-11-03 00:00:00,Period Tracker,5.2,Android
MM_1030,2024-10-24,2024-12-14 00:00:00,Health Articles,10.1,iOS
MM_1030,2024-10-24,2024-11-11 00:00:00,Period Tracker,13.2,Android
MM_1030,2024-10-24,2024-12-16 00:00:00,Community Forum,4.3,iOS
MM_1030,2024-10-24,2024-11-22 00:00:00,Period Tracker,13.9,iOS
MM_1031,2024-08-18,2024-10-04 00:00:00,Period Tracker,2.1,Android
MM_1031,2024-08-18,2024-09-02 00:00:00,Period Tracker,8.5,Android
MM_1031,2024-08-18,2024-10-15 00:00:00,Symptom Logger,14.8,iOS
MM_1031,2024-08-18,2024-09-28 00:00:00,Period Tracker,,iOS
MM_1031,2024-08-18,2024-10-11 00:00:00,Period Tracker,11.6,iOS
MM_1031,2024-08-18,2024-08-22 00:00:00,Health Articles,11.4,Android
MM_1031,2024-08-18,2024-08-18 00:00:00,Period Tracker,14.1,iOS
MM_1031,2024-08-18,2024-09-25 00:00:00,Period Tracker,5.1,iOS
MM_1031,2024-08-18,2024-08-26 00:00:00,Symptom Logger,11.9,iOS
MM_1031,2024-08-18,2024-09-24 00:00:00,Period Tracker,13.5,iOS
MM_1031,2024-08-18,2024-09-10 00:00:00,Period Tracker,6.5,Android
MM_1031,2024-08-18,2024-09-05 00:00:00,Period Tracker,10.2,Android
MM_1031,2024-08-18,2024-10-08 00:00:00,Health Articles,3.9,Android
MM_1031,2024-08-18,2024-08-30 00:00:00,Period Tracker,13.4,iOS
MM_1031,2024-08-18,2024-10-06 00:00:00,Period Tracker,4.2,Android
MM_1031,2024-08-18,2024-10-11 00:00:00,Community Forum,7.3,Android
MM_1031,2024-08-18,2024-09-29 00:00:00,Period Tracker,9.2,Android
MM_1031,2024-08-18,2024-10-11 00:00:00,Symptom Logger,6.2,Android
MM_1031,2024-08-18,2024-08-26 00:00:00,Symptom Logger,9.0,iOS
MM_1032,2024-10-28,2024-11-05 00:00:00,Period Tracker,5.4,Android
MM_1032,2024-10-28,2024-11-01 00:00:00,Health Articles,8.8,iOS
MM_1032,2024-10-28,2024-11-13 00:00:00,Period Tracker,,Android
MM_1032,2024-10-28,2024-11-28 00:00:00,Period Tracker,6.8,iOS
MM_1032,2024-10-28,2024-12-26 00:00:00,Symptom Logger,5.5,Android
MM_1032,2024-10-28,2024-11-10 00:00:00,Health Articles,10.9,iOS
MM_1032,2024-10-28,2024-12-24 00:00:00,Symptom Logger,12.4,Android
MM_1032,2024-10-28,2024-11-10 00:00:00,Period Tracker,4.6,iOS
MM_1032,2024-10-28,2024-11-08 00:00:00,Community Forum,3.2,Android
MM_1032,2024-10-28,2024-12-25 00:00:00,Period Tracker,7.4,Android
MM_1032,2024-10-28,2024-11-18 00:00:00,Symptom Logger,1.7,iOS
MM_1032,2024-10-28,2024-12-10 00:00:00,Community Forum,8.9,Android
MM_1032,2024-10-28,2024-12-23 00:00:00,Period Tracker,9.3,iOS
MM_1032,2024-10-28,2024-11-14 00:00:00,Period Tracker,,Android
MM_1033,2024-08-25,2024-09-04 00:00:00,Period Tracker,13.4,iOS
MM_1033,2024-08-25,2024-10-16 00:00:00,Period Tracker,6.0,iOS
MM_1033,2024-08-25,2024-09-13 00:00:00,Symptom Logger,10.6,iOS
MM_1033,2024-08-25,2024-10-16 00:00:00,Community Forum,9.5,Android
MM_1033,2024-08-25,2024-10-16 00:00:00,Period Tracker,13.4,iOS
MM_1033,2024-08-25,2024-10-05 00:00:00,Period Tracker,6.7,Android
MM_1033,2024-08-25,2024-09-12 00:00:00,Community Forum,7.5,iOS
MM_1033,2024-08-25,2024-10-09 00:00:00,Period Tracker,7.2,Android
MM_1033,2024-08-25,2024-09-04 00:00:00,Community Forum,4.8,iOS
MM_1033,2024-08-25,2024-10-02 00:00:00,Community Forum,12.6,Android
MM_1033,2024-08-25,2024-10-18 00:00:00,Period Tracker,11.5,Android
MM_1033,2024-08-25,2024-10-12 00:00:00,Community Forum,8.8,iOS
MM_1034,2024-09-25,2024-11-12 00:00:00,Period Tracker,5.3,Android
MM_1034,2024-09-25,2024-09-30 00:00:00,Health Articles,8.7,Android
MM_1034,2024-09-25,2024-09-28 00:00:00,Period Tracker,11.7,Android
MM_1034,2024-09-25,2024-10-02 00:00:00,Period Tracker,13.9,iOS
MM_1034,2024-09-25,2024-10-31 00:00:00,Period Tracker,9.0,iOS
MM_1034,2024-09-25,2024-10-11 00:00:00,Period Tracker,6.4,iOS
MM_1034,2024-09-25,2024-10-29 00:00:00,Period Tracker,7.6,Android
MM_1034,2024-09-25,2024-10-10 00:00:00,Period Tracker,3.8,iOS
MM_1034,2024-09-25,2024-10-28 00:00:00,Period Tracker,5.4,iOS
MM_1034,2024-09-25,2024-11-02 00:00:00,Period Tracker,6.1,iOS
MM_1034,2024-09-25,2024-10-31 00:00:00,Symptom Logger,1.9,iOS
MM_1034,2024-09-25,2024-10-25 00:00:00,Period Tracker,5.3,Android
MM_1034,2024-09-25,2024-11-06 00:00:00,Symptom Logger,12.8,iOS
MM_1034,2024-09-25,2024-10-12 00:00:00,Community Forum,11.8,iOS
MM_1034,2024-09-25,2024-11-16 00:00:00,Period Tracker,3.9,iOS
MM_1034,2024-09-25,2024-09-25 00:00:00,Period Tracker,1.2,iOS
MM_1034,2024-09-25,2024-10-11 00:00:00,Period Tracker,3.2,iOS
MM_1035,2024-10-25,2024-10-30 00:00:00,Health Articles,9.7,Android
MM_1035,2024-10-25,2024-11-28 00:00:00,Health Articles,7.2,Android
MM_1035,2024-10-25,2024-11-03 00:00:00,Period Tracker,10.6,iOS
MM_1035,2024-10-25,2024-11-25 00:00:00,Period Tracker,9.9,iOS
MM_1035,2024-10-25,2024-11-19 00:00:00,Symptom Logger,7.5,Android
MM_1036,2024-08-04,2024-08-24 00:00:00,Period Tracker,3.3,Android
MM_1036,2024-08-04,2024-08-10 00:00:00,Period Tracker,1.0,Android
MM_1036,2024-08-04,2024-09-19 00:00:00,Period Tracker,14.0,Android
MM_1036,2024-08-04,2024-09-24 00:00:00,Symptom Logger,9.1,Android
MM_1036,2024-08-04,2024-08-27 00:00:00,Period Tracker,11.3,iOS
MM_1036,2024-08-04,2024-08-13 00:00:00,Period Tracker,7.6,Android
MM_1036,2024-08-04,2024-08-04 00:00:00,Symptom Logger,13.1,iOS
MM_1037,2024-08-28,2024-09-07 00:00:00,Period Tracker,7.4,Android
MM_1037,2024-08-28,2024-09-11 00:00:00,Health Articles,10.9,iOS
MM_1037,2024-08-28,2024-10-04 00:00:00,Period Tracker,,iOS
MM_1037,2024-08-28,2024-09-04 00:00:00,Symptom Logger,14.6,iOS
MM_1037,2024-08-28,2024-09-02 00:00:00,Period Tracker,14.4,iOS
